Player,SR
JH Davey (SCOT),66.98
JJ Tucker (BMUDA),68.31
DJ Callaghan (SA),67.9
Mohammad Mithun (BDESH),74.81
Naimur Rahman (BDESH),63.29
JWM Dalrymple (ENG),72.47
AC Cummins (CAN/WI),82.93
R McLaren (SA),71.32
MRJ Veletta (AUS),75.38
CS Baugh (WI),67.03
AA Mulla (CAN),81.0
SR Patel (ENG),93.23
CD Wallace (SCOT),91.46
DJ Reekers (NL),117.03
TN de Grooth (NL),62.01
DA Minors (BMUDA),60.42
BG Rogers (ZIM),69.37
S Lee (AUS),95.4
SS Iyer (INDIA),104.84
Karim Sadiq (AFG),80.91
MA Leask (SCOT),108.46
CA Best (WI),68.55
AJ Bichel (AUS),78.5
L Siaka (PNG),75.23
H Patel (CAN),80.13
MD Shanaka (SL),115.84
CH Morris (SA),100.43
ALF de Mel (SL),78.31
AO Malhotra (INDIA),70.85
Umar Gul (PAK),71.18
C Sharma (INDIA),90.47
GEF Barnett (CAN),61.07
R Gunasekera (CAN),67.2
RR Hendricks (SA),76.98
MD Dai (PNG),77.6
Minhajul Abedin (BDESH),49.83
Mehrab Hossain (BDESH),58.84
WIA Fernando (SL),96.33
TE Blain (NZ),66.76
SAR Silva (SL),52.62
MK Pandey (INDIA),91.85
GR Viswanath (INDIA),52.89
RL Chase (WI),76.17
JP Maher (AUS),65.08
AH Omarshah (ZIM),50.81
PL Taylor (AUS),74.95
DN Chudasama (KENYA),63.35
CJ McDermott (AUS),87.8
CJO Smith (SCOT),67.5
Shafiqullah (AFG),105.39
DR Pringle (ENG),68.99
MN van Wyk (SA),68.88
AK Sharma (INDIA),90.4
RC Russell (ENG),66.3
AS Hansra (CAN),58.06
S Prasanna (SL),94.6
SMA Priyanjan (SL),80.45
AR Adams (NZ),100.47
SR Waters (KENYA),55.79
CO Browne (WI),70.33
Farhad Reza (BDESH),64.77
Usman Ghani (AFG),79.03
GB Brent (ZIM),58.45
CB Lambert (USA/WI),75.37
RW Price (ZIM),57.91
IR Bishop (WI),52.19
EA Brandes (ZIM),90.17
ID Blackwell (ENG),86.66
F Mutizwa (ZIM),80.27
JP Bray (IRE),67.5
RG de Alwis (SL),78.32
S Madan Lal (INDIA),62.17
TBM de Leede (NL),63.69
WS Jayantha (SL),75.47
Mushtaq Ahmed (PAK),57.16
Sohail Tanvir (PAK),87.11
DR Chumney (CAN),66.72
Mohammad Naveed (UAE),122.91
IA Karim (KENYA),75.86
AB Barath (WI),64.37
Shoaib Akhtar (Asia/ICC/PAK),73.23
T Thushara (SL),92.45
PJ Ongondo (Afr/KENYA),62.96
Mirwais Ashraf (AFG),71.27
AF Giles (ENG),69.87
Hannan Sarkar (BDESH),53.71
Sadiq Mohammad (PAK),50.72
Mehidy Hasan Miraz (BDESH),76.5
MH Dekker (ZIM),47.49
DM Wellham (AUS),54.22
S Bau (PNG),62.79
U Bhatti (CAN),73.68
GF Lawson (AUS),75.6
MR Ramprakash (ENG),69.11
Al Sahariar (BDESH),52.75
CC Lewis (ENG),81.48
SMH Kirmani (INDIA),60.55
